doc_index,dominant_topic,topic_score
0,3,0.914
1,3,0.551
2,4,0.977
3,5,0.949
4,5,0.97
5,5,0.959
6,5,0.711
7,5,0.982
8,5,0.989
9,8,0.491
10,8,0.966
11,5,0.987
12,5,0.665
13,5,0.995
14,5,0.628
15,7,0.985
16,5,0.984
17,4,0.963
18,8,0.964
19,8,0.971
20,5,0.981
21,4,0.851
22,8,0.42
23,5,0.968
24,8,0.872
25,3,0.973
26,2,0.972
27,8,0.94
28,5,0.576
29,5,0.965
30,5,0.942
31,4,0.951
32,5,0.934
33,2,0.977
34,8,0.977
35,5,0.592
36,8,0.802
37,8,0.618
38,3,0.937
39,5,0.705
40,8,0.677
41,8,0.964
42,5,0.965
43,2,0.732
44,3,0.937
45,8,0.988
46,5,0.981
47,8,0.981
48,3,0.55
49,5,0.959
50,5,0.555
51,5,0.942
52,5,0.972
53,8,0.974
54,7,0.986
55,5,0.759
56,4,0.982
57,8,0.971
58,3,0.985
59,7,0.706
60,5,0.949
61,5,0.588
62,5,0.514
63,8,0.985
64,7,0.994
65,4,0.688
66,7,0.714
67,8,0.961
68,4,0.985
69,5,0.97
70,7,0.685
71,5,0.975
72,5,0.984
73,3,0.99
74,4,0.976
75,5,0.571
76,5,0.535
77,4,0.977
78,4,0.98
79,8,0.974
80,8,0.952
81,5,0.934
82,7,0.813
83,8,0.899
84,0,0.939
85,4,0.938
86,2,0.997
87,0,0.726
88,6,0.516
89,0,0.987
90,3,0.927
91,6,0.94
92,3,0.973
93,5,0.612
94,3,0.439
95,3,0.769
96,1,0.691
97,6,0.708
98,4,0.938
99,1,0.753
100,1,0.743
101,1,0.956
102,0,0.505
103,1,0.966
104,0,0.979
105,0,0.729
106,0,0.322
107,2,0.96
108,0,0.543
109,6,0.94
110,6,0.713
111,1,0.619
112,6,0.976
113,0,0.745
114,6,0.589
115,4,0.928
116,6,0.833
117,0,0.351
118,1,0.735
119,1,0.979
120,4,0.541
121,0,0.952
122,0,0.747
123,6,0.969
124,0,0.389
125,0,0.986
126,6,0.974
127,1,0.502
128,5,0.981
129,6,0.988
130,6,0.616
131,6,0.967
132,1,0.738
133,4,0.701
134,6,0.919
135,0,0.946
136,7,0.598
137,6,0.654
138,0,0.348
139,1,0.665
140,2,0.951
141,7,0.978
142,6,0.981
143,6,0.409
144,2,0.945
145,0,0.988
146,0,0.541
147,1,0.708
148,1,0.363
149,6,0.889
150,6,0.967
151,6,0.665
152,0,0.516
153,0,0.979
154,6,0.919
155,6,0.625
156,8,0.605
157,0,0.576
158,1,0.977
159,6,0.901
160,6,0.969
161,6,0.953
162,0,0.981
163,6,0.862
164,6,0.994
165,0,0.963
166,1,0.986
167,1,0.623
168,6,0.629
169,1,0.52
170,6,0.544
171,0,0.499
172,1,0.695
173,6,0.986
174,6,0.53
175,0,0.647
176,2,0.96
177,7,0.97
178,1,0.63
179,0,0.581
180,6,0.669
181,1,0.977
182,3,0.969
183,6,0.644
184,1,0.96
185,1,0.81
186,6,0.961
187,1,0.684
188,0,0.51
189,6,0.709
190,1,0.956
191,0,0.436
192,7,0.978
193,3,0.538
194,6,0.382
195,2,0.979
196,7,0.574
197,5,0.587
198,2,0.938
199,3,0.969
200,2,0.632
201,2,0.691
